Name,Latitude,Longitude,,keyword,
진주IC,35.16185,128.1246093,,,
진주JC,35.13812211,128.0980991,,,
진천IC,36.86835811,127.4751227,,,
진해IC,35.13629956,128.7758188,,,
창녕IC,35.54242844,128.4765539,,,
창원1터널(동측),35.28927201,128.5767456,,창원1터널,
창원1터널(서측),35.28927201,128.5767456,,창원1터널,
창원JC,35.27518268,128.6413397,,,
창평IC,35.23238226,127.001505,,,
천안IC,36.8260721,127.1686282,,,
천안JC,36.76979955,127.1808347,,,
천진암교,0,0,,,
철원JC,38.14476727,127.3118334,,,
청계TG,37.39281879,127.0249843,,,
청도IC,35.65258814,128.7477844,,,
청량IC,35.47900651,129.2819521,,,
청북IC,37.04869079,126.9194738,,,
청송IC,36.45522233,129.0267802,,,
청양IC,36.37425466,126.9507799,,,
청주IC,36.62613078,127.3834234,,,
청주JC,36.56476432,127.4306326,,,
